,cluster
0,28
1,28
2,28
3,26
4,28
5,28
6,20
7,28
8,28
9,28
10,28
11,28
12,28
13,28
14,28
15,28
16,28
17,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
25,28
26,28
27,28
28,28
29,28
30,28
31,28
32,15
33,28
34,16
35,28
36,28
37,28
38,28
39,28
40,28
41,28
42,28
43,28
44,28
45,28
46,28
47,25
48,28
49,28
50,28
51,28
52,17
53,28
54,28
55,28
56,28
57,28
58,28
59,28
60,28
61,28
62,16
63,28
64,28
65,28
66,28
67,28
68,28
69,28
70,28
71,28
72,28
73,28
74,28
75,28
76,28
77,28
78,28
79,17
80,28
81,28
82,28
83,1
84,28
85,28
86,28
87,28
88,28
89,28
90,24
91,28
92,28
93,28
94,28
95,28
96,28
97,28
98,28
99,26
100,28
101,28
102,28
103,28
104,28
105,11
106,28
107,28
108,28
109,14
110,28
111,28
112,28
113,28
114,8
115,28
116,28
117,28
118,28
119,28
120,28
121,28
122,28
123,28
124,28
125,28
126,28
127,28
128,28
129,28
130,28
131,28
132,28
133,28
134,28
135,28
136,28
137,28
138,28
139,28
140,28
141,28
142,28
143,28
144,28
145,28
146,22
147,28
148,28
149,28
150,28
151,28
152,28
153,28
154,28
155,28
156,25
157,28
158,18
159,28
160,28
161,28
162,28
163,28
164,22
165,28
166,28
167,27
168,28
169,22
170,28
171,28
172,28
173,28
174,28
175,28
176,28
177,28
178,28
179,28
180,28
181,28
182,28
183,28
184,28
185,28
186,28
187,28
188,28
189,28
190,20
191,28
192,28
193,28
194,28
195,28
196,28
197,28
198,28
199,28
200,28
201,28
202,28
203,29
204,28
205,28
206,28
207,28
208,28
209,28
210,28
211,28
212,3
213,28
214,28
215,28
216,22
217,28
218,28
219,28
220,28
221,18
222,28
223,28
224,28
225,28
226,28
227,28
228,28
229,28
230,28
231,28
232,28
233,28
234,28
235,28
236,28
237,28
238,28
239,28
240,28
241,28
242,28
243,28
244,28
245,28
246,28
247,28
248,28
249,28
250,28
251,28
252,28
253,28
254,28
255,28
256,28
257,3
258,28
259,28
260,28
261,14
262,28
263,28
264,28
265,28
266,28
267,28
268,28
269,28
270,28
271,28
272,28
273,28
274,28
275,28
276,28
277,28
278,28
279,28
280,28
281,28
282,6
283,28
284,28
285,14
286,28
287,28
288,28
289,28
290,28
291,28
292,28
293,14
294,28
295,28
296,28
297,28
298,28
299,28
300,28
301,28
302,28
303,28
304,28
305,2
306,28
307,28
308,28
309,28
310,28
311,28
312,28
313,28
314,28
315,28
316,28
317,28
318,28
319,4
320,28
321,28
322,28
323,28
324,28
325,28
326,30
327,28
328,28
329,28
330,28
331,28
332,28
333,28
334,28
335,28
336,28
337,3
338,28
339,28
340,28
341,28
342,28
343,28
344,28
345,28
346,28
347,28
348,4
349,11
350,28
351,28
352,28
353,28
354,28
355,28
356,4
357,28
358,28
359,28
360,24
361,28
362,28
363,28
364,28
365,28
366,28
367,28
368,28
369,28
370,28
371,28
372,28
373,28
374,28
375,28
376,28
377,28
378,28
379,28
380,28
381,28
382,28
383,28
